CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-25 00:00,m^3/s,715,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-26 00:00,m^3/s,699,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-27 00:00,m^3/s,821,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-28 00:00,m^3/s,697,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-29 00:00,m^3/s,858,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-30 00:00,m^3/s,1217,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-31 00:00,m^3/s,1521,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-09-01 00:00,m^3/s,1659,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-09-02 00:00,m^3/s,1493,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-09-03 00:00,m^3/s,1201,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-09-04 00:00,m^3/s,1047,Definitivo
